"filename", "language", "YAML", "Ignore", "TypeScript", "Docker", "JSON with Comments", "Markdown", "TypeScript React", "CSS", "JavaScript", "Prisma", "JSON", "SQL", "Log", "comment", "blank", "total"
"d:\Coding\unified-bookmarks-web\.dockerignore", "Ignore", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\Coding\unified-bookmarks-web\.eslintrc.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 6, 1, 20
"d:\Coding\unified-bookmarks-web\.github\workflows\deploy.yml", "YAML", 172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 39, 220
"d:\Coding\unified-bookmarks-web\.gitpod.yml", "YAML", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 11, 57
"d:\Coding\unified-bookmarks-web\.prettierignore", "Ignore", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"d:\Coding\unified-bookmarks-web\Dockerfile", "Docker", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 19, 53
"d:\Coding\unified-bookmarks-web\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Coding\unified-bookmarks-web\app\components\CTA.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 2, 22
"d:\Coding\unified-bookmarks-web\app\components\Errors.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 3, 53
"d:\Coding\unified-bookmarks-web\app\components\ErrorsBrand.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 3, 62
"d:\Coding\unified-bookmarks-web\app\components\ExtensionSection.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 99, 0, 0, 0, 0, 0, 0, 5, 3, 107
"d:\Coding\unified-bookmarks-web\app\components\Flow.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 217, 0, 0, 0, 0, 0, 0, 0, 9, 226
"d:\Coding\unified-bookmarks-web\app\components\Flow1.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"d:\Coding\unified-bookmarks-web\app\components\Footer.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 2, 32
